commit,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment
1b7ba794d21836f72e5888db63ab790077c04e1b,1.9820143884892085,17.073741007194243,1.474820143884892,4.1852517985611515,4.093525179856115,5.0071942446043165,1.6672661870503598,20.37589928057554,1.9640287769784173,16.807553956834532,1.45863309352518
fba275dc93319ffa31ecebe015f8cda671fcf0e5,2.2752293577981653,20.128440366972477,1.856269113149847,4.941896024464832,4.825688073394495,5.941896024464832,2.198776758409786,24.073394495412845,2.2629969418960245,19.98776758409786,1.8470948012232415
54cc8aca60e474e637e9d71b57ee2c6f1fb197e6,2.0,17.183123877917414,1.4757630161579893,4.206463195691203,4.111310592459605,5.023339317773788,1.6696588868940754,20.491921005385997,1.9820466786355475,16.91382405745063,1.459605026929982
e3482ccf27b8278289f899cbb294696389a9e1c8,1.970856102003643,16.73224043715847,1.4990892531876139,4.052823315118397,3.9581056466302367,4.825136612021858,1.686703096539162,20.04553734061931,1.9562841530054644,16.524590163934427,1.4863387978142077
57415089bd33575bcb7e134ddb2e1eacee3dfaca,1.9762773722627738,16.71897810218978,1.5127737226277371,4.056569343065694,3.95985401459854,4.815693430656935,1.6916058394160585,20.067518248175183,1.9580291970802919,16.521897810218977,1.4981751824817517
882add136fa8319832ef373b8797ef58edb80efc,1.9635036496350364,16.71167883211679,1.4981751824817517,4.054744525547445,3.9616788321167884,4.821167883211679,1.6916058394160585,20.025547445255473,1.9507299270072993,16.503649635036496,1.4835766423357664
3e8b7d3c77c464b29f7f3e0627ca7354f7de433a,1.963436928702011,16.70749542961609,1.5027422303473492,4.062157221206581,3.96526508226691,4.828153564899451,1.6873857404021937,20.021937842778794,1.9506398537477148,16.49908592321755,1.4881170018281535
7d2df051d05bc65a0a540ba080f07b421b4d99d7,1.9818840579710144,16.621376811594203,1.4855072463768115,4.0271739130434785,3.9347826086956523,4.771739130434782,1.6757246376811594,19.929347826086957,1.963768115942029,16.42391304347826,1.4692028985507246
a33fc72fe911fdb8e284c94e08e8f1dafe4d3187,2.0,17.175942549371634,1.4757630161579893,4.204667863554757,4.111310592459605,5.023339317773788,1.6696588868940754,20.49012567324955,1.9820466786355475,16.90843806104129,1.459605026929982
22e5ae5c8e6859e5670a2c6bbf5798778373144c,1.9689213893967092,16.678244972577698,1.5082266910420474,4.045703839122487,3.9451553930530165,4.809872029250457,1.6855575868372943,19.9963436928702,1.9542961608775138,16.477148080438756,1.4954296160877514
ef09036cf34c2e5704c753a4ffb3c947a89402af,1.9652650822669104,16.685557586837295,1.5027422303473492,4.047531992687386,3.952468007312614,4.8208409506398535,1.6873857404021937,20.0,1.9506398537477148,16.477148080438756,1.489945155393053
0c064d907b5d96cb4f68c9f1f3214b115d43436e,1.9801084990958409,16.60759493670886,1.4828209764918625,4.023508137432188,3.9312839059674505,4.766726943942134,1.6745027124773961,19.911392405063292,1.9620253164556962,16.410488245931283,1.4665461121157324
ac8ce18d89acccaa7a66900adff75d4aeb6ec80b,1.9762773722627738,16.71897810218978,1.5127737226277371,4.056569343065694,3.95985401459854,4.815693430656935,1.6916058394160585,20.067518248175183,1.9580291970802919,16.521897810218977,1.4981751824817517
