commit,AltCountLineBlank,AltCountLineCode,AltCountLineComment,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxNesting,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment
8be8342b4c47df386c6eced39922595d7dfdccc9,32229,192247,37017,259269,31603,176806,45916,119113,35904,7745,10541,39853.0,38632.0,46958.0,20079.0,161.0,161.0,161.0,13,1.9512605042016806,16.754621848739497,1.457142857142857,4.132773109243698,4.031932773109244,4.92436974789916,1.6319327731092437,20.031932773109244,1.9394957983193277,16.500840336134456,1.4453781512605042
8bf3b75841ead5a796b62a54534b5a203adffae4,27108,167248,30550,222840,26553,154426,39315,104630,29491,6705,8761,34780.0,33753.0,41171.0,17699.0,113.0,112.0,154.0,13,1.9015151515151516,16.263257575757574,1.4867424242424243,3.971590909090909,3.8731060606060606,4.736742424242424,1.6875,19.507575757575758,1.8882575757575757,16.071969696969695,1.4734848484848484
8bfeb0e42c3358374dc8ab14369e4280d8b12f5c,32005,191140,36840,257771,31379,175740,45654,118371,35727,7745,10500,39621.0,38399.0,46681.0,19959.0,161.0,161.0,161.0,13,1.949579831932773,16.707563025210085,1.4504201680672268,4.121008403361344,4.020168067226891,4.914285714285715,1.6218487394957983,19.97310924369748,1.9378151260504202,16.455462184873948,1.438655462184874
8c00b7e583bc69e1e0a4f2fcd5a744c52fba24f0,29262,177927,33345,238420,28711,164802,42218,111467,32299,6702,9063,36984.0,35870.0,43753.0,18848.0,118.0,117.0,154.0,13,1.9781021897810218,16.733576642335766,1.5091240875912408,4.0583941605839415,3.9616788321167884,4.821167883211679,1.6934306569343065,20.067518248175183,1.9616788321167884,16.532846715328468,1.4945255474452555
8c13a8d7d8d56ffe8cbcdf663093fd77360b8d40,32012,191157,36836,257791,31386,175747,45664,118382,35723,7745,10510,39623.0,38396.0,46686.0,19969.0,161.0,161.0,161.0,13,1.949579831932773,16.707563025210085,1.4504201680672268,4.122689075630252,4.021848739495798,4.915966386554622,1.6218487394957983,19.969747899159664,1.9378151260504202,16.455462184873948,1.438655462184874
8c1bc7c244bf19e5c9fe5caa74389c022b8d24bc,31167,187233,35544,251763,30574,172133,44582,116002,34446,7522,10354,38813.0,37636.0,45757.0,19551.0,161.0,161.0,161.0,13,1.967128027681661,16.81833910034602,1.434256055363322,4.124567474048443,4.025951557093426,4.93598615916955,1.6297577854671281,20.070934256055363,1.9567474048442905,16.55190311418685,1.4221453287197232
8c2ca3a6d6d0bf51332f92d25b7902f9943aaaf2,29293,178077,33520,238775,28742,164952,42246,111568,32470,6702,9066,37031.0,35917.0,43810.0,18884.0,118.0,117.0,154.0,13,1.9762773722627738,16.713503649635037,1.5127737226277371,4.054744525547445,3.958029197080292,4.815693430656935,1.6916058394160585,20.063868613138688,1.9580291970802919,16.516423357664234,1.4981751824817517
8c4b1a3593fca2a5315aa5a266fb11d5bdb78330,30820,185722,35376,249746,30237,170787,44128,115112,34281,7464,10232,38591.0,37430.0,45448.0,19435.0,161.0,161.0,161.0,13,1.9807692307692308,16.924825174825173,1.4632867132867133,4.153846153846154,4.0524475524475525,4.9527972027972025,1.6363636363636365,20.22027972027972,1.9685314685314685,16.653846153846153,1.451048951048951
8c59921dbf99cd19f1311a4eb1213312fdb41905,30320,183372,34337,245871,29758,168920,43397,114199,33281,7215,9906,38146.0,37006.0,45041.0,19241.0,161.0,161.0,161.0,13,1.9946619217081851,17.110320284697508,1.4715302491103204,4.1886120996441285,4.094306049822064,5.00355871886121,1.6654804270462633,20.416370106761565,1.9786476868327403,16.839857651245552,1.4572953736654803
8c5acfb923a94dc746baa4eef8454cb4c4f18270,30123,182351,34158,244483,29561,167945,43036,113640,33102,7215,9860,37948.0,36812.0,44816.0,19145.0,161.0,161.0,161.0,13,2.0017953321364454,17.17773788150808,1.4757630161579893,4.202872531418312,4.1059245960502695,5.021543985637343,1.6696588868940754,20.49012567324955,1.9838420107719927,16.910233393177737,1.459605026929982
8c69832d137042a4368248a995bebcc5b964a87b,30596,184693,34717,247845,30019,169955,43751,114805,33656,7409,10056,38332.0,37174.0,45159.0,19347.0,161.0,161.0,161.0,13,1.9876760563380282,17.051056338028168,1.4683098591549295,4.174295774647887,4.075704225352113,4.977112676056338,1.6514084507042253,20.360915492957748,1.9753521126760563,16.776408450704224,1.4559859154929577
8c6d1f9807c67532e7fb545a944b064faff0f70b,27870,171003,31748,228520,27305,157997,40414,106801,30679,6792,8885,35495.0,34439.0,42003.0,17954.0,118.0,117.0,154.0,13,1.953531598513011,16.723048327137548,1.5055762081784387,4.068773234200743,3.9776951672862455,4.836431226765799,1.6895910780669146,20.033457249070633,1.9405204460966543,16.520446096654275,1.4907063197026023
8c87bdfb2137c9e9e945df13e2f2e1eb995ddf83,27455,169198,30997,225566,26889,156227,39762,105765,29928,6786,8857,35184.0,34139.0,41669.0,17784.0,117.0,116.0,154.0,13,1.9606741573033708,16.882022471910112,1.50374531835206,4.106741573033708,4.01685393258427,4.883895131086143,1.7134831460674158,20.185393258426966,1.9475655430711611,16.672284644194757,1.4906367041198503
8c88769ba422e451fb50eb2ea843233580befed4,28001,171688,31918,229500,27435,158645,40552,107287,30849,6790,8928,35649.0,34581.0,42193.0,18056.0,118.0,117.0,154.0,13,1.9648798521256932,16.77264325323475,1.5138632162661738,4.079482439926063,3.9870609981515712,4.857670979667283,1.6950092421441774,20.10536044362292,1.9519408502772644,16.5637707948244,1.4990757855822552
8c8ddbd0821d552ff3c7e1b67c669dd7f11d63d7,31993,191029,36846,257656,31367,175630,45642,118283,35733,7745,10499,39586.0,38367.0,46639.0,19946.0,161.0,161.0,161.0,13,1.949579831932773,16.70420168067227,1.453781512605042,4.117647058823529,4.018487394957983,4.9109243697478995,1.6218487394957983,19.969747899159664,1.9378151260504202,16.452100840336133,1.442016806722689
8c8e978f5719c6a58fb998742207bf907f963143,30406,183846,34452,246549,29843,169311,43488,114438,33396,7247,9974,38204.0,37058.0,45021.0,19269.0,161.0,161.0,161.0,13,1.9858156028368794,17.072695035460992,1.4716312056737588,4.177304964539007,4.079787234042553,4.973404255319149,1.6524822695035462,20.375886524822697,1.9734042553191489,16.79432624113475,1.4592198581560283
8c98a68981177013dfa0380968b57a1a37a45539,28405,173689,32518,232485,27840,160611,41132,108528,31453,6784,8970,36047.0,34960.0,42645.0,18362.0,118.0,117.0,154.0,13,1.963235294117647,16.72426470588235,1.5018382352941178,4.0661764705882355,3.974264705882353,4.84375,1.6893382352941178,20.049632352941178,1.9503676470588236,16.518382352941178,1.4871323529411764
8ca69370c890b52d751402034524da5384c5dd9a,33037,196091,37825,264691,32391,180250,47037,121357,36649,7937,10848,40546.0,39266.0,47747.0,20468.0,161.0,161.0,161.0,13,1.9642276422764227,16.58048780487805,1.4357723577235773,4.079674796747968,3.9723577235772356,4.850406504065041,1.6178861788617886,19.866666666666667,1.9528455284552846,16.333333333333332,1.424390243902439
8cc633286a4803025d84b77c808a2c7ad8616f2f,31471,188665,36069,254020,30878,173567,44966,117017,34971,7530,10344,39128.0,37943.0,46126.0,19725.0,161.0,161.0,161.0,13,1.9620689655172414,16.85,1.4293103448275861,4.143103448275862,4.041379310344827,4.958620689655173,1.639655172413793,20.089655172413792,1.95,16.586206896551722,1.4172413793103449
8cdef01c4282e6006b785a0222589ccd2b65a187,31993,191031,36846,257658,31367,175632,45642,118284,35733,7745,10499,39587.0,38368.0,46641.0,19946.0,161.0,161.0,161.0,13,1.949579831932773,16.70420168067227,1.453781512605042,4.117647058823529,4.018487394957983,4.9109243697478995,1.6218487394957983,19.969747899159664,1.9378151260504202,16.452100840336133,1.442016806722689
8cf422dbf1b4bc14a970b7ff5c5fa555f61dd9ed,31756,190129,36429,256116,31131,174801,45321,117832,35316,7739,10433,39420.0,38209.0,46468.0,19882.0,161.0,161.0,161.0,13,1.945578231292517,16.738095238095237,1.4285714285714286,4.120748299319728,4.020408163265306,4.921768707482993,1.629251700680272,19.96938775510204,1.933673469387755,16.482993197278912,1.4166666666666667
8cf5739426637e43b881aed2a0e9a9fd18e9b245,26738,165482,29873,220048,26185,152805,38706,103590,28814,6662,8640,34450.0,33438.0,40814.0,17559.0,113.0,112.0,154.0,13,1.8903846153846153,16.221153846153847,1.4903846153846154,3.973076923076923,3.871153846153846,4.730769230769231,1.7076923076923076,19.43076923076923,1.8788461538461538,16.01923076923077,1.475
8d0017daa1dcd596a1412700aee378c27238319e,30623,184856,34998,248315,30046,169969,43860,114739,33937,7409,10205,38428.0,37270.0,45253.0,19346.0,161.0,161.0,161.0,13,1.9894551845342707,17.01933216168717,1.4727592267135325,4.173989455184534,4.072056239015817,4.966608084358524,1.6449912126537785,20.31458699472759,1.9771528998242531,16.748681898066785,1.460456942003515
